TABLE=059 | AREA=Phường Chơn Thành
--- SEQUENCE=7 | SECTION=non-agricultural | PAGES=5187-5202 | LINES=645 ---
P=5188 | X=0090.100-0176.640 | Y=0632.010-0645.970 | Đường ĐT 751
P=5188 | X=0090.100-0149.370 | Y=0646.010-0659.970 | Hết tuyến
P=5188 | X=0090.100-0124.430 | Y=0660.010-0673.970 | 1.100
P=5188 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 790
P=5188 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 680
P=5189 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 24
P=5189 | X=0090.100-0296.770 | Y=0086.010-0099.970 | Đường số 7 - Khu phố Minh Long 1
P=5189 | X=0090.100-0176.640 | Y=0100.010-0113.970 | Đường ĐT 751
P=5189 | X=0090.100-0520.620 | Y=0114.010-0127.970 | Phía Tây: Hết ranh thửa đất số 72, tờ bản đồ số 131; Phía Đông: Ngã ba
P=5189 | X=0090.100-0246.940 | Y=0128.010-0141.970 | đường số 3 và Đường số 7
P=5189 | X=0090.100-0124.430 | Y=0142.010-0155.970 | 1.100
P=5189 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 790
P=5189 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 680
P=5189 | X=0090.100-0105.360 | Y=0198.010-0211.970 | 25
P=5189 | X=0090.100-0445.330 | Y=0212.010-0225.970 | Đường số 7 - Khu phố Minh Long 1 và Khu phố Minh Long 7
P=5189 | X=0090.100-0520.620 | Y=0226.010-0239.970 | Phía Tây: Hết ranh thửa đất số 72, tờ bản đồ số 131; Phía Đông: Ngã ba
P=5189 | X=0090.100-0246.940 | Y=0240.010-0253.970 | đường số 3 và Đường số 7
P=5189 | X=0090.100-0149.370 | Y=0254.010-0267.970 | Hết tuyến
P=5189 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 700
P=5189 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 490
P=5189 | X=0090.100-0113.000 | Y=0296.010-0309.970 | 420
P=5189 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 26
P=5189 | X=0090.100-0296.770 | Y=0338.010-0351.970 | Đường số 8 - Khu phố Minh Long 1
P=5189 | X=0090.100-0176.640 | Y=0352.010-0365.970 | Đường ĐT 751
P=5189 | X=0090.100-0149.370 | Y=0366.010-0379.970 | Hết tuyến
P=5189 | X=0090.100-0124.430 | Y=0380.010-0393.970 | 1.100
P=5189 | X=0090.100-0113.000 | Y=0394.010-0407.970 | 790
P=5189 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 680
P=5189 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 27
P=5189 | X=0090.100-0296.770 | Y=0450.010-0463.970 | Đường số 9 - Khu phố Minh Long 1
P=5189 | X=0090.100-0176.640 | Y=0464.010-0477.970 | Đường ĐT 751
P=5189 | X=0090.100-0149.370 | Y=0478.010-0491.970 | Hết tuyến
P=5189 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 1.100
P=5189 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 790
P=5189 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 680
P=5189 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 28
P=5189 | X=0090.100-0304.410 | Y=0562.010-0575.970 | Đường số 10 - Khu phố Minh Long 1
P=5189 | X=0090.100-0176.640 | Y=0576.010-0589.970 | Đường ĐT 751
P=5189 | X=0090.100-0149.370 | Y=0590.010-0603.970 | Hết tuyến
P=5189 | X=0090.100-0124.430 | Y=0604.010-0617.970 | 1.100
P=5189 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 790
P=5189 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 680
P=5189 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 29
P=5189 | X=0090.100-0304.410 | Y=0674.010-0687.970 | Đường số 11 - Khu phố Minh Long 1
P=5189 | X=0090.100-0176.640 | Y=0688.010-0701.970 | Đường ĐT 751
P=5189 | X=0090.100-0149.370 | Y=0702.010-0715.970 | Hết tuyến
P=5190 | X=0090.100-0124.430 | Y=0072.010-0085.970 | 1.100
P=5190 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 790
P=5190 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 680
P=5190 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 30
